MetaNetX,equation,deltag
MNXR101798,(1) cpd00001[0] + (1) cpd00006[0] => (1) cpd00003[0] + (1) cpd00009[0]; C00006 + C00001 <=> C00009 + C00003; (1) cpd00001[0] + (1) cpd00006[0] <=> (1) cpd00003[0] + (1) cpd00009[0],-3.02
MNXR106397,(1) cpd00001[0] + (1) cpd00006[0] => (1) cpd00067[0] + (1) cpd00133[0] + (1) cpd02079[0]; (1) cpd00006[0] + (1) cpd00218[0] <=> (1) cpd00133[0] + (1) cpd09365[0]; C00006 + C00253 <=> C00153 + C13051,-3.67; -2.41
MNXR106398,C00007 + 2 C00051 <=> C00127 + C00027; (1) cpd00007[0] + (2) cpd00042[0] => (1) cpd00025[0] + (1) cpd00111[0],-28.02
MNXR96129,(1) cpd00001[0] + (1) cpd00008[0] => (1) cpd00009[0] + (1) cpd00018[0] + (2) cpd00067[0]; C00008 + C00001 <=> C00020 + C00009,-5.74
MNXR146858,(1) cpd00001[0] + (1) cpd00008[0] + (1) cpd00067[0] => (1) cpd00013[0] + (1) cpd00090[0]; C00008 + C00001 <=> C00104 + C00014,-14.62
MNXR96123,,
MNXR95856; MNXR190680,C01260 + C00001 <=> 2 C00008; (1) cpd00001[0] + (1) cpd00924[0] => (2) cpd00008[0],-7.85
MNXR190577; MNXR95435,C00008 + C00002 <=> C00009 + C01260; (1) cpd00002[0] + (1) cpd00008[0] <=> (1) cpd00009[0] + (1) cpd00067[0] + (1) cpd00924[0]; (1) cpd00002[0] + (1) cpd00008[0] <= (1) cpd00009[0] + (1) cpd00067[0] + (1) cpd00924[0],1.69
MNXR95450,(1) cpd00002[0] + (1) cpd00018[0] + (1) cpd00067[0] <=> (2) cpd00008[0]; C00002 + C00020 <=> 2 C00008,-0.42
MNXR106401,(1) cpd00001[0] + (1) cpd02198[0] => (1) cpd00002[0] + (1) cpd00009[0] + (1) cpd00067[0]; C03483 + C00001 <=> C00002 + C00009,-7.49
MNXR106402,C00002 + C04856 <=> C00008 + C00009 + C00004; (1) cpd00002[0] + (1) cpd02951[0] => (1) cpd00004[0] + (1) cpd00008[0] + (1) cpd00009[0] + (1) cpd00067[0],-11.69
